País;Año;V1;V2;V3;V4;V5
ElSalvador;2004;3581,460555;7182,95638;-6706,33473;6255,395498;545,2231682
ElSalvador;2005;3752,632705;7470,52368;-6876,195949;6618,816199;577,3123448
ElSalvador;2006;3584,969146;6902,713323;-6346,947398;6150,137217;529,3096306
ElSalvador;2007;4017,212482;7686,345748;-7111,965405;6829,403677;576,8076066
ElSalvador;2008;3991,128287;7573,537198;-6967,317102;6766,419147;569,780686
Guatemala;1993;2823,868598;6219,598335;-5854,311848;5127,088641;504,6805374
Guatemala;1994;2810,734295;6114,885814;-5681,767043;5129,686577;505,0314743
Guatemala;1995;2729,43536;5932,280984;-5527,727176;4950,373712;492,4153909
Guatemala;1996;2797,093817;6060,326418;-5639,70223;5082,221605;508,1786475
Guatemala;1997;2969,306701;6403,154032;-5923,294722;5439,195124;535,8294494
Guatemala;1998;2817,058511;6036,298663;-5591,83656;5104,958039;508,2792462
Guatemala;1999;2591,363377;5474,076714;-5084,290633;4604,037292;472,9712115
Guatemala;2000;2661,794719;5611,017144;-5184,655108;4748,214716;482,2481919
Guatemala;2001;2487,521409;5202,003693;-4834,7604;4343,89381;454,8731114
Guatemala;2002;2663,604378;5611,504084;-5235,384683;4680,572182;479,2944669
Guatemala;2003;2546,25327;5247,174646;-4929,75933;4357,703198;448,5657915
Guatemala;2004;2422,154254;4925,610243;-4674,163793;4036,716756;423,0497945
Guatemala;2005;2553,193945;5124,850005;-4799,251842;4304,687728;438,6314591
Guatemala;2006;2671,920867;5278,007625;-4920,52334;4468,745153;448,3915702
Guatemala;2007;2667,760742;5124,180676;-4777,083421;4342,666147;435,8797845
Guatemala;2008;2586,517888;4824,750473;-4473,268277;4117,878427;415,8864014
Haiti;1993;1597,788142;3364,516686;-3347,143592;2548,755046;180,3956162
Haiti;1994;2197,151108;4808,651533;-4734,322986;3778,379972;270,3581216
Haiti;1995;2617,860324;5780,160025;-5634,186408;4628,369835;354,6628164
Haiti;1996;3057,670179;6835,922932;-6646,863207;5516,795419;420,5459741
Haiti;1997;3073,081235;6892,953091;-6716,748707;5550,509657;426,4987495
Haiti;1998;2880,415064;6398,431721;-6243,689458;5140,639391;393,2599939
Haiti;1999;2967,885187;6612,354627;-6443,192204;5324,601948;410,6355937
Haiti;2000;2961,131526;6595,690139;-6420,040218;5305,581728;408,9968475
Haiti;2001;2752,622546;6094,190375;-5928,165859;4890,260935;373,5794921
Haiti;2002;2608,826533;5749,047399;-5587,353336;4600,101681;351,3255664
Haiti;2003;2757,446091;6119,955519;-5936,956708;4893,310108;378,8648345
Haiti;2004;2545,825351;5582,087389;-5419,950641;4466,658665;340,8144519
Haiti;2005;2610,251402;5705,799601;-5532,02678;4587,915553;352,7958144
Haiti;2006;2830,87966;6203,190107;-5998,470718;5008,484549;386,5166546
Haiti;2007;3192,265955;7007,933506;-6762,437725;5703,674103;437,7111346
Haiti;2008;2900,229044;6277,051998;-6067,57874;5087,614706;388,2938456
Honduras;1993;3404,026979;7331,80948;-6857,008842;6226,316834;563,3301692
Honduras;1994;3563,217099;7774,23024;-7308,418017;6543,754881;594,8039677
Honduras;1995;3535,46478;7638,414854;-7142,651204;6483,600209;587,5422137
Honduras;1996;3541,589067;7587,5231;-7072,563143;6481,797869;585,1012825
Honduras;1997;3585,019659;7699,115945;-7189,484018;6560,391751;591,6777571
Honduras;1998;3373,376448;7149,353051;-6689,080358;6087,612617;553,1575547
Honduras;1999;3306,450922;6989,231581;-6536,104144;5944,386516;546,2705898
Honduras;2000;3046,829951;6302,733902;-5847,233602;5405,413393;500,9439912
Honduras;2001;3181,228004;6653,204204;-6229,20038;5648,566542;516,42615
Honduras;2002;2990,817568;6165,346647;-5759,392793;5249,918068;486,263119
Honduras;2003;3124,63777;6456,642735;-6043,980843;5492,277821;502,3312503
Honduras;2004;3025,439846;6172,869872;-5755,019367;5253,191849;491,0367623
Honduras;2005;3097,851949;6274,887272;-5818,512243;5382,602744;495,8702835
Honduras;2006;3387,373946;6871,55213;-6374,272112;5908,512151;535,2489471
Honduras;2007;3305,415455;6501,415518;-6024,730565;5611,466473;508,8249441
Honduras;2008;3347,333881;6356,60326;-5828,041838;5582,823207;501,8330218
Jamaica;1993;4049,211473;7988,673213;-7908,962872;6685,02912;489,2452346
Jamaica;1994;4148,874033;8071,416216;-7974,847403;6803,474041;497,4579311
Jamaica;1995;4388,792093;8375,090651;-8276,931725;7138,649077;513,298909
Jamaica;1996;4265,765034;8005,484934;-7948,506829;6818,605647;483,1928564
Jamaica;1997;4292,716485;7985,52503;-7893,41541;6865,993562;483,8695939
Jamaica;1998;4415,692194;8198,376993;-8088,587141;7063,609832;495,8995904
Jamaica;1999;4382,881704;8107,494927;-8040,012548;6944,309884;482,1474499
Jamaica;2000;4300,250465;7864,082138;-7792,026451;6764,934598;468,1076044
Jamaica;2001;4400,404614;7936,459816;-7655,340903;7018,423745;500,3106436
Jamaica;2002;4591,575836;8349,870309;-8221,727029;7195,242885;502,8164284
Jamaica;2003;4302,614289;7603,228982;-7619,840388;6456,135575;432,150476
Jamaica;2004;4721,950643;8572,205895;-8532,813281;7295,68589;497,5127398
Jamaica;2005;4223,613006;7337,014261;-7344,518868;6273,219749;413,1441948
Jamaica;2006;4576,923193;8130,651638;-8088,986384;6965,79404;464,1054039
Jamaica;2007;4419,245961;7637,898329;-7641,826049;6545,936221;426,0833711
